ID_FAKTURA,GODINA,VR_FAKTURA,BROJ_FAK,ID_PREDUZECE,FIRMA_ID,KOMENTAR,DATUM,BROJ_DANA,DATUM_SISTEMA,VR_PDV,KOM_FAK,KORISNIK,RACUNAR,STATUS,P_FAKTURA,P_GODINA,P_BROJ_FAK,P_VR_FAKTURA,PRVA,IZNOS,PDV,RABAT,ID_OPERATER,ID_ZIRO_RACUNA,W_JIKR,W_IKOF,W_DATUM_FISKAl,W_DATUM_SISTEMA,W_QRCODE,W_BROJ,W_GODINA,W_STORNO,W_F_ID_FAKTURA,W_F_GODINA,W_F_VR_FAKTURA,W_F_IKOF_VEZA,W_BROJ_VEZA,W_DATUM_FISKAl_VEZA,W_IZNOS_VEZA,W_IZNOS_PRIJE_KOREKCIJE,W_TCRCODE,W_BUSIUNITCODE,W_SOFT_CODE,W_OPERATORCODE,W_ERROR,W_ST_FISKALIZACIJA
1,2021,"A",1,1,4417,,"12/01/21 00:00:00",30,"12/01/21 14:39:55",0,,"Dražen Petrić","DESKTOP-NLN4J54","N",,,,,0,14.52,2.52,0,2,,,,,,,,,0,,,,,,,0,14.52,,,,,,0
1,2021,"S",1,1,4662,,"12/06/21 00:00:00",30,"12/06/21 16:29:05",0,,"Dražen Petrić","DESKTOP-NLN4J54","N",,,,,0,1292.28,224.28,0,2,6,"c579567a-c1eb-4b23-b0c1-89e860a9dfa6","FCAEEB253082554BA97788D1AB30267C","2021-12-06T16:29:11+01:00","12/06/21 16:29:11","https://mapr.tax.gov.me/ic/#/verify?iic=FCAEEB253082554BA97788D1AB30267C&tin=03150321&crtd=2021-12-06T16:29:11+01:00&ord=264&bu=fx128he341&cr=jj382ot935&sw=xn121bl158&prc=1292.28",264,2021,0,,,,,,,0,1292.28,"jj382ot935","fx128he341","xn121bl158","el922sh247","Ok",1
1,2022,"A",1,1,4408,,"11/28/22 00:00:00",30,"11/28/22 09:40:06",0,,"Dražen Petrić","DESKTOP-CVAPDP8","N",,,,,0,1775.07,308.07,0,2,,,,,,,,,0,,,,,,,0,1775.07,,,,,,0
1,2022,"F",1,1,4484,,"01/17/22 00:00:00",30,"01/17/22 10:07:57",0,,"Dražen Petrić","DESKTOP-NLN4J54","N",,,,,0,48.4,8.4,0,0,1,"62c3d38c-9eac-40e2-9718-4c3d3e464dc8","B0E9945D21B1F9F8C93948818F68CAE9","2022-01-17T10:08:05+01:00","01/17/22 10:08:05","https://mapr.tax.gov.me/ic/#/verify?iic=B0E9945D21B1F9F8C93948818F68CAE9&tin=03150321&crtd=2022-01-17T10:08:05+01:00&ord=1&bu=fx128he341&cr=jj382ot935&sw=xn121bl158&prc=48.40",1,2022,0,,,,,,,0,48.4,"jj382ot935","fx128he341","xn121bl158","el922sh247","Ok",1
1,2022,"S",1,1,4723,,"03/22/22 00:00:00",0,"03/22/22 14:22:22",1,"Organisation number of company:  556896-3960","Dražen Petrić","DESKTOP-NLN4J54","N",,,,,0,300,0,0,2,6,"b9ee74d1-9b83-434a-9716-d1ef8f3d2a69","16705D25F4F9E91D7558BD705652B017","2022-03-22T14:27:14+01:00","03/22/22 14:27:14","https://mapr.tax.gov.me/ic/#/verify?iic=16705D25F4F9E91D7558BD705652B017&tin=03150321&crtd=2022-03-22T14:27:14+01:00&ord=61&bu=fx128he341&cr=jj382ot935&sw=xn121bl158&prc=300.00",61,2022,0,,,,,,,0,300,"jj382ot935","fx128he341","xn121bl158","el922sh247","Ok",1
1,2023,"S",1,1,4430,,"02/28/23 00:00:00",30,"02/28/23 11:12:41",0,,"Dražen Petrić","DESKTOP-NLN4J54","N",,,,,0,145.2,25.2,0,2,6,"0d5e436e-c9b4-478e-9375-6ecc0586a202","9DCFA8A64450AD777DF68A37B8BBD318","2023-02-28T11:12:53+01:00","02/28/23 11:12:53","https://mapr.tax.gov.me/ic/#/verify?iic=9DCFA8A64450AD777DF68A37B8BBD318&tin=03150321&crtd=2023-02-28T11:12:53+01:00&ord=98&bu=fx128he341&cr=jj382ot935&sw=xn121bl158&prc=145.20",98,2023,0,,,,,,,0,145.2,"jj382ot935","fx128he341","xn121bl158","el922sh247","Ok",1
1,2024,"A",1,1,4604,"100 odbiti od pretplate HIV a","01/15/24 00:00:00",30,"01/15/24 09:00:53",1,"Oslobođeni PDV-a na osnovu:

ID kartica br: ____________________   Ime vlasnika: ____________________

Broj lične karte:__________________   Broj pasoša:  ____________________
","Dražen Petrić","BRAIN-FISCAL","N",,,,,0,100,0,0,2,,,,,,,,,0,,,,,,,0,100,,,,,,0
1,2024,"F",1,1,4859,,"01/17/24 00:00:00",0,"01/15/24 09:04:30",0,,"Dražen Petrić","BRAIN-FISCAL","N",,,,,0,-60.5,-10.5,-0,2,1,"8ac5aaa0-7c4c-4d6c-8b8c-858c6abec7f5","9EDEC3B92011F83B8C9366778FCC5836","2024-01-17T22:44:15+01:00","01/17/24 22:44:16","https://mapr.tax.gov.me/ic/#/verify?iic=9EDEC3B92011F83B8C9366778FCC5836&tin=03150321&crtd=2024-01-17T22:44:15+01:00&ord=14&bu=fx128he341&cr=jj382ot935&sw=xn121bl158&prc=-60.50",14,2024,2,2075,2023,"F","19E7E63B40522D2ADEF443D9BDDAD7F1","1269","2023-12-28T12:14:12+01:00",1633,-60.5,"jj382ot935","fx128he341","xn121bl158","el922sh247","Ok",1
1,2024,"S",1,1,5048,,"03/15/24 00:00:00",0,"03/15/24 09:37:49",0,,"Dražen Petrić","BRAIN-FISCAL","N",,,,,0,108.9,18.9,0,2,6,"41c61363-2181-4941-8828-425f2f0350c6","0198056400B0F0C85B6A65026F537926","2024-03-15T09:48:20+01:00","03/15/24 09:48:20","https://mapr.tax.gov.me/ic/#/verify?iic=0198056400B0F0C85B6A65026F537926&tin=03150321&crtd=2024-03-15T09:48:20+01:00&ord=183&bu=fx128he341&cr=jj382ot935&sw=xn121bl158&prc=108.90",183,2024,0,,,,,,,0,108.9,"jj382ot935","fx128he341","xn121bl158","el922sh247","Ok",1
2,2021,"F",2,1,4484,,"06/19/21 00:00:00",30,"06/19/21 18:23:33",0,,"Dražen Petrić","DESKTOP-NLN4J54","N",,,,,0,48.4,8.4,0,0,1,"53ff2eb2-0faa-4cb0-9077-1e6957249065","D08BD6EB922587A9BBC8F7C0CA50E068","2021-06-19T18:27:43+02:00","06/19/21 18:27:44","https://mapr.tax.gov.me/ic/#/verify?iic=D08BD6EB922587A9BBC8F7C0CA50E068&tin=03150321&crtd=2021-06-19T18:27:43+02:00&ord=96&bu=fx128he341&cr=jj382ot935&sw=xn121bl158&prc=48.40",96,2021,0,,,,,,,0,48.4,"jj382ot935","fx128he341","xn121bl158","el922sh247","Ok",1
